,Наименование / ФИО,ИНН,Адрес,Чистая прибыль (2400),Чистая прибыль прошлый год (2400),Налоги (2410),Проценты (2330),Амортизация (расчетная),EBITDA,Статус
22,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЛАДИМИР-СОЮЗПРОММОНТАЖ""",3328412522,"600005, Владимирская область, г.о. город Владимир, г Владимир, ул Почаевский Овраг, д. 1, стр. 1, офис 1",87035.0,25011.0,-22345.0,499.0,0.0,65189.0,
23,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛС-СЕРВИС""",7728135831,"127566, Москва г, пр-д Высоковольтный, д. 9",-3190.0,-188761.0,-3066.0,0.0,58851.0,52595.0,
24,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНАЯ СИБИРЬ""",2465006513,"660111, Красноярский край, Красноярск г, Башиловская ул, дом № 5",3030.0,6826.0,-1334.0,0.0,904.0,2600.0,
25,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДНАЯ СТРОИТЕЛЬНАЯ ФИРМА ""КОНСОРЦИУМ ""ЗАПАДНЫЙ УРАЛ""",5902115094,"614000, Пермский край, г Пермь, ул Пермская, д 126а",800.0,58.0,-71.0,0.0,2863.0,3592.0,
26,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДЧИК""",2539030721,"г. Владивосток, ул. Русская, д. 93, 690105",9558.0,-3069.0,-1622.0,0.0,50.0,7986.0,
27,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВЗАРУБЕЖСТРОЙ""",7704697207,"г. Москва, вн.тер.г. муниципальный округ Хамовники, ул. Тимура Фрунзе, д. 16, стр. 3, 119021",-8989.0,-201552.0,0.0,0.0,0.0,-8989.0,
28,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВУКС""",5000000218,"127083, Москва г, Петровско-Разумовская аллея, дом № 10, корпус 2",-19403.0,933.0,-11.0,0.0,4.0,-19410.0,
29,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАЖДАНСТРОЙ""",6731010189,"214019, Смоленская обл, Смоленск г, Трамвайный проезд, дом 14, офис 105",-33795.0,832.0,0.0,0.0,712.0,-33083.0,
30,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАНИ ГОРОДА""",5044125655,"107031, Москва г, вн.тер.г. муниципальный округ Мещанский, пл Трубная, д. 2, кв. 14/1п, ",73880.0,50400.0,-13556.0,1711.0,8134.0,70169.0,
31,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЕР СТРОЙ""",7743356592,"125502, Г.Москва, Фестивальная ул, д. № 53А, стр. 3, кв. 1/6/7Д",13.0,6.0,-3.0,0.0,390.0,400.0,
32,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬМОРМОНТАЖ-ВОСТОЧНЫЙ""",2508045333,"692940, Приморский край, Находка г, Крайнева ул, дом № 8",-10971.0,-13662.0,0.0,0.0,1427.0,-9544.0,
33,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИАПАЗОН""",7814027004,"191124, Санкт-Петербург г, наб Синопская, 64А, 18-Н, 10",0.0,803.0,0.0,0.0,0.0,0.0,
34,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОЛГОПРУДНЕНСКОЕ УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""",5025012896,"141704, Московская обл, Долгопрудный г, ул. Набережная, д.23,к.1, НП 6",42263.0,101402.0,-11270.0,0.0,12880.0,43873.0,
35,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНАЯ КОМПАНИЯ""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",3123040930,"г. Белгород, ул. Чехова, д. 2А, оф. 109, 308014",6548.0,14058.0,-2926.0,0.0,6435.0,10057.0,
36,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ № 1""",7714046959,"123007, Москва г, вн.тер.г. муниципальный округ Хорошевский, проезд 3-й Хорошёвский, д. 3, кв. Эт 1 Пом I Ком 51, ",210533.0,-197226.0,719254.0,547475.0,4051.0,1481313.0,
37,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ №2""",5263001814,"603047, Нижегородская обл, Нижний Новгород г, Героя Рябцева ул, дом 1В, корпус 21",317.0,180.0,-210.0,0.0,793.0,900.0,
38,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНЫЙ ЦЕНТР ВНЕДРЕНИЯ""",6450042805,"410019, Саратовская обл, г Саратов, ул Зеленая, д. 107, кв. 26, ",209.0,1628.0,-1429.0,0.0,0.0,-1220.0,
39,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСК""",2466000401,"660049, Красноярский край, Красноярск г, Мира пр-кт, дом № 18",-17223.0,-1874.0,-18514.0,0.0,12060.0,-23677.0,
40,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСУ-3""",6013000288,"181350, Псковская обл, р-н Островский, г Остров, ул К.Маркса, д 9",-4090.0,-7006.0,244.0,0.0,1460.0,-2386.0,
41,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕКБ-ОТДЕЛСТРОЙ""",6670160730,"620144, Свердловская обл, г Екатеринбург, ул Сурикова, д 53, 102",13271.0,9787.0,-3647.0,0.0,0.0,9624.0,
42,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЗДРИНСКАЯ ПМК""",4006002065,"249340,Область Калужская, ,Город Жиздра, ,Улица Фокина,49",-1416.0,1518.0,0.0,0.0,220.0,-1196.0,
43,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЛТРАНС""",7733799210,"150030, г. Ярославль, Московский пр-кт, д. 74, кв. 409",2297.0,12267.0,3248.0,0.0,6623.0,12168.0,
44,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАРЕЧЬЕ""",1653008582,"420127, Татарстан респ, Казань г, Дементьева ул, дом № 2, корпус В, офис А111",-1933.0,-1013.0,1979.0,29.0,358.0,433.0,
45,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗОНАЛЬНОЕ""",6517004027,"694404, Сахалинская обл, р-н Тымовский, с Зональное, пер. Авиационный, зд 4А",-1541.0,-1856.0,0.0,0.0,381.0,-1160.0,
46,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИМПУЛЬС""",2528000926,"643,692150,25,Тернейский р-н,,Терней пгт,Ивановская ул,100,,",-463.0,-1573.0,0.0,0.0,0.0,-463.0,
47,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНВЕСТСТРОЙГАРАНТ""",7705585440,"115230, Город Москва, вн.тер. г. Муниципальный Округ Нагатино-Садовники, проезд Хлебозаводский, дом 7, строение 9, этаж/помещ./ком./офис 3/Х/36/2",1847.0,2421.0,-462.0,0.0,0.0,1385.0,
48,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИННОВАЦИОННОЕ УПРАВЛЕНИЕ СТРОИТЕЛЬСТВОМ""",7719243661,"105077, Москва г, Первомайская ул, дом № 89, этаж 0, помещение I, комната 12",2473.0,4.0,-817.0,0.0,1992.0,3648.0,
49,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНЭФКОР""",7720019008,"109341, Город Москва, ул. Верхние Поля, дом 8, 66",-7659.0,-27131.0,2516.0,0.0,7050.0,1907.0,
50,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЛИНИНГРАДАГРОСТРОЙ""",3906034170,"236023, Калининградская обл, Калининград г, Лейтенанта Яналова ул, дом № 42",535.0,403.0,0.0,0.0,0.0,535.0,
51,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО И РЕКОНСТРУКЦИЯ""",7714406538,"125315, Москва г, вн.тер.г. муниципальный округ Аэропорт, пр-кт Ленинградский, д. 66, помещ. 1Н",-19920.0,2042.0,3077.0,3012.0,3346.0,-10485.0,
52,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КЁНИГ-ХОЛЬЦ""",3903008430,"238560, Калининградская обл, р-н Светлогорский, г Светлогорск, ул Железнодорожная, 1А",2840.0,3369.0,0.0,0.0,84.0,2924.0,
53,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ ""СВЯЗЬ И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",7719258347,"129164, Москва г, Ярославская ул, дом 8, корпус 3, помещение I, комната 31",-2070.0,127.0,0.0,0.0,0.0,-2070.0,
54,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ СПЕЦСТРОЙРЕКОНСТРУКЦИЯ""",7729655368,"117342, Москва г, Бутлерова ул, д. № 17, этаж 5 ком. 228",-588.0,347.0,27.0,273.0,6772.0,6484.0,
55,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПЛЕКСНЫЕ СТРОИТЕЛЬНЫЕ РЕШЕНИЯ""",7604156684,"150000, Ярославская обл, г.о. город Ярославль, г Ярославль, ул Чайковского, д. 40а, кв. 105, ",-257.0,-442.0,0.0,0.0,0.0,-257.0,
56,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНСАЛТИНГСТРОЙИНВЕСТ""",7017334036,"634006, Томская обл, Томск г, Пушкина ул,63 г",93020.0,43596.0,-24594.0,601.0,0.0,69027.0,
57,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНТИ""",9701004970,"117630, Москва г, ул Академика Челомея, 3, 2, Этаж 2",-13213.0,2181.0,651.0,11035.0,0.0,-1527.0,
58,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""ЦЭМ""",6228038066,"390000, Рязанская обл, г Рязань, км 197 километр (Окружная дорога), д 6",0.0,150.0,-15.0,0.0,406.0,391.0,
59,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТТЕДЖ-ИНДУСТРИЯ""",3627008639,"Воронежская обл., г. Россошь, ул. Промышленная, д. 17, 396657",351.0,652.0,-821.0,0.0,0.0,-470.0,
60,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОШЕЛЕВ-ПРОЕКТ""",6312040240,"443035, Самарская обл, г. Самара, ул. Мирная, дом 162",-52053.0,-23993.0,0.0,9822.0,5198.0,-37033.0,
61,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОДАРСКИЙ ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ №1""",2311011320,"350090, Краснодарский край, г Краснодар, проезд им. Репина, д 22, кв 54",75941.0,131975.0,-20201.0,7521.0,30556.0,93817.0,
62,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОПОЛЯНСКАЯ ПТИЦЕФАБРИКА""",5029014809,"141051, Московская обл, Мытищи Городской округ, Аббакумово д",172.0,-24532.0,0.0,46674.0,0.0,46846.0,
63,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЫМСТРОЙ""",9102046280,"295017, Республика Крым, г.о. Симферополь, г Симферополь, ул Фрунзе, дом 41",1150.0,-900.0,-691.0,0.0,271.0,730.0,
64,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КУРОРТСТРОЙ""",2304016990,"353460, Краснодарский край, г.о. город-курорт Геленджик, г. Геленджик, тер. Южная промышленная зона, д. 12",83156.0,55532.0,-27409.0,0.0,0.0,55747.0,
65,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАВР-БЕЛГОРОД""",3128065293,"309540, Белгородская обл, г. Старый Оскол, ст Котел Промузел, д. ПЛОЩАДКА ТРАНСПОРТНАЯ, к. ПРОЕЗД Ш-4 СТРОЕНИЕ 29",13922.0,5398.0,-3306.0,1313.0,0.0,11929.0,
66,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАГНИТОСТРОЙ""",7414000992,"455025, Челябинская обл, г Магнитогорск, ул Гагарина, 50, 1",370.0,5498.0,-5381.0,13890.0,0.0,8879.0,
67,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАХАЧКАЛИНСКИЙ ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ""",541000015,"367031, Дагестан Респ, г Махачкала, пр-кт Амет-Хана Султана, д. 89",5121.0,9545.0,-208.0,169.0,0.0,5082.0,
68,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШОПТТОРГ""",3663001942,"г. Воронеж, ул. Пушкинская, д. 1, кв. 518, 394036",2225.0,21666.0,-2153.0,22816.0,54529.0,77417.0,
69,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОМСОМОЛЬСКАЯ""",2108002261,"Чувашская Республика - Чувашия, с. Комсомольское, ул. Мира, д. 3Б, 429140",-156.0,-3702.0,0.0,0.0,247.0,91.0,
70,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕХЗАВОД""",7710478789,"123104, Москва г, пер Большой Палашёвский, д. 9, кор. 1, ",-170034.0,-5563.0,-20972.0,3446.0,216276.0,28716.0,
71,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОГОЙТУЙСКАЯ МСО""",8003021109,"687420, Забайкальский край, р-н Могойтуйский, пгт Могойтуй, ул Первомайская, д 33",299.0,904.0,-132.0,0.0,0.0,167.0,
72,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЖГИНСКОЕ СТРОИТЕЛЬНОЕ ОБЪЕДИНЕНИЕ""",1830000270,"Удмуртская Респ, Можга г, Устюжанина ул, дом № 5",54387.0,43057.0,-19887.0,0.0,25979.0,60479.0,
73,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЗДОКСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №3""",1510008048,"363750, Северная Осетия - Алания Респ, р-н Моздокский, г Моздок, ул Кирова, 130",36354.0,37822.0,0.0,0.0,1747.0,38101.0,
74,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНОЛИТ""",5029022704,"141006, Московская обл, г Мытищи, пр-кт Олимпийский, 48, Б, 31",-29458.0,-50861.0,-2101.0,27317.0,4794.0,552.0,
75,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНОЛИТСТРОЙ""",7830001839,"191123, Санкт-Петербург г, Рылеева ул, дом 29",275.0,584.0,76.0,48915.0,0.0,49266.0,
76,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСЕЛЬСТРОЙ-18""",5004000089,"143600, Московская обл, г Волоколамск, пер Ново-Солдатский, д. 4, ",-28.0,-19.0,-21.0,0.0,0.0,-49.0,
77,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСТРОЙ №5""",5005001110,"140208, Московская область, г Воскресенск, ул Быковского, зд. 2, помещ. 1",-1710.0,456.0,-8.0,0.0,155.0,-1563.0,
78,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСПРОМСТРОЙИНЖИНИРИНГ""",7704040517,"107031, Москва г, Петровка ул, дом 15/13, строение 5",-109578.0,52159.0,-2417.0,0.0,2163.0,-109832.0,
79,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСТИНЖСТРОЙ""",7709502155,"141009, Московская обл, Мытищи г, Карла Маркса ул, дом 4, литер А, этаж 5, помещение 518,544",9175.0,6299.0,2882.0,0.0,0.0,12057.0,
80,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МР-ЦЕНТР""",9715426146,"127015, Москва г, ул Новодмитровская, д 2, к 2, Эт 12 Пом Xxxi К 11",2206425.0,785040.0,-555559.0,0.0,0.0,1650866.0,
81,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУСЛЮМОВСКАЯ МСО""",1629003431,"423970, Татарстан Респ, р-н Муслюмовский, с Муслюмово, ул Ф.Рашитова, 40",-2630.0,8081.0,276.0,0.0,0.0,-2354.0,
82,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""СКАД""",7726065829,"117105, Москва г, Варшавское ш, дом 28Ж, кабинет 4",114.0,1944.0,-73.0,1547.0,0.0,1588.0,
83,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НВБ ЭНЕРГИЯ""",7719741321,"121357, Город Москва, вн.тер.г. муниципальный округ Можайский, ул Верейская, д. 29, стр. 134, помещ. 2Н/2",25306.0,7608.0,-1190.0,61670.0,48391.0,134177.0,
84,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ПРОЕКТ""",7802148357,"198095, Санкт-Петербург г, Митрофаньевское ш, дом 5, корпус 2, литера Б",55578.0,1035.0,-17188.0,1820.0,0.0,40210.0,
85,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИИПРОМ""",7718874505,"105082, Город Москва, вн.тер.г. муниципальный округ Басманный, ул Бакунинская, д. 69, стр. 1, помещ. 2/А",-45180.0,-125872.0,-321.0,1323.0,2438.0,-41740.0,
86,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВАЯ ТЕХНОЛОГИЯ""",7202255830,"625062, Тюменская обл, Городской округ город Тюмень, Тюмень г, Федюнинского ул, дом 62, помещение 7",176.0,923.0,-44.0,0.0,33464.0,33596.0,
87,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОРДГРАД""",7813427641,"197110, Город Санкт-Петербург, вн.тер.г. муниципальный округ Чкаловское, ул Барочная, д. 10, к. 1, литера А, помещ. 16-Н:29(ЧАСТЬ), офис 304",849.0,8875.0,-3975.0,15755.0,171298.0,183927.0,
88,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ ТРЕСТ ""СПЕЦГИДРОЭНЕРГОМОНТАЖ""",7815014022,"191036, Город Санкт-Петербург, Невский пр., д. 111/3, литер А, помещ. 31Н, каб. 400",-5801.0,-80.0,517.0,0.0,140.0,-5144.0,
89,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРЛАН""",1655409759,"420043, Татарстан Респ, Казань г, Лесгафта ул, дом № 6/57, помещение 14Д",31.0,165.0,0.0,0.0,0.0,31.0,
90,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА № 8""",2115000346,"Чувашская Республика - Чувашия, г. Цивильск, ул. Павла Иванова, двлд. 8д, 429900",10916.0,33826.0,-7184.0,0.0,0.0,3732.0,
91,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТРОС""",7816131635,"192007, Санкт-Петербург г, пр-кт Лиговский, д. 200а, литера А, помещ. 7Н",159967.0,204563.0,-40724.0,0.0,0.0,119243.0,
92,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПОГРАНИЧНАЯ МЕЖХОЗЯЙСТВЕННАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""",2525003164,"692582, Приморский край, р-н Пограничный, пгт Пограничный, ул Дубовика",0.0,20.0,0.0,0.0,0.0,0.0,
93,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПОДРЯДЧИК""",6316135260,"443110, г.Самара, ул.Осипенко, д.1А",6.0,111.0,-1.0,0.0,1182.0,1187.0,
94,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИОРИТЕТ-СТРОЙ ИНЖИНИРИНГ""",7714938405,"143402, Московская область, г Красногорск, ул Жуковского, д. 6, помещ. II",5961.0,13862.0,-15493.0,2503.0,4296.0,-2733.0,
95,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОКОНС""",7715278180,"125319, Москва г, проезд Кочновский, 4, 2, помещ. I",2712.0,30272.0,-654.0,0.0,1358.0,3416.0,
96,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМИНДУСТРИЯ АГ""",7706194960,"119602, Москва г, вн.тер.г. муниципальный округ Тропарево-Никулино, ул Покрышкина, двлд 8, ",-27502.0,-52967.0,13560.0,0.0,42347.0,28405.0,
97,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОММОНОЛИТ""",7803058547,"193230, Санкт-Петербург г, Крыленко ул, дом № 3 А, литер А",23.0,451.0,-29.0,992.0,337.0,1323.0,
98,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМСТРОЙСЕРВИС""",603282806,"109004, Город Москва, ул Земляной Вал, д. 64, стр. 2, помещ. 2/3",-70457.0,-207156.0,9181.0,0.0,0.0,-61276.0,
99,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМСТРОЙТЕХНО-ИНВЕСТ""",7709211195,"125167, Москва г, пр-кт Ленинградский, д 37Б",374.0,489.0,-72.0,63662.0,5257.0,69221.0,
100,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОФИСТРОЙ""",4401159638,"156011, Костромская обл, г Кострома, проезд Березовый, д. 10",159537.0,71467.0,-6439.0,0.0,24.0,153122.0,
101,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПТИЦЕСТРОЙ""",3917000617,"238310, Калининградская обл., Гурьевский р-н, п. Малое Исаково, ул. Гурьевская, д. 1, лит. А, каб. 21",-18219.0,-1299.0,888.0,0.0,0.0,-17331.0,
