,Наименование / ФИО,ИНН,Адрес,Чистая прибыль (2400),Чистая прибыль прошлый год (2400),Налоги (2410),Проценты (2330),Амортизация (расчетная),EBITDA,Статус
324,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""РЭМ СТРОЙ""",1650272236,"423600, Татарстан Респ, р-н Елабужский, г Елабуга, ул Спасская, 6",-5084.0,-116149.0,0.0,0.0,0.0,-5084.0,
325,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""САНЛАЙН ПРОЕКТ""",7814619177,"197374, Санкт-Петербург г, вн.тер.г. муниципальный округ № 65, ул Стародеревенская, д. 11, кор. 2, кв. 207, ",0.0,0.0,0.0,0.0,6.0,6.0,
326,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СЕВЕРО-ЗАПАДНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",7810477852,"196006, Санкт-Петербург г, пр-кт Лиговский, д. 266, литера В, помещ. 6.1-Н.152",2118.0,4070.0,1004.0,0.0,3766.0,6888.0,
327,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СМУ 54""",5404087415,"630032, Новосибирская обл, Новосибирск г, Большая ул, дом № 228/1, этаж 1",5240.0,5066.0,538.0,125.0,0.0,5903.0,
328,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СМУ""",5404087133,"630107, Новосибирская обл, Новосибирск г, Связистов ул, дом 154, этаж 2",27401.0,696.0,5094.0,0.0,1871.0,34366.0,
329,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СПЕЦФУНДАМЕНТСТРОЙ""",4826128700,"г. Липецк, ул. Первомайская, д. 37, оф. 5, 398059",1145.0,6455.0,-2711.0,0.0,0.0,-1566.0,
330,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СПЕЦМОНТАЖСТРОЙ""",5911037205, ,510.0,184.0,-128.0,0.0,8012.0,8394.0,
331,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СТРОИТЕЛЬНАЯ КОМПАНИЯ  ""МОРПИТЕРСТРОЙ""",7840036608,"195027, Санкт-Петербург г, Металлистов пр-кт, дом 7, литер А, помещение 201",1802.0,840.0,451.0,116.0,0.0,2369.0,
332,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""АЛМАЗ""",7810486293,"199178, Санкт-Петербург г, Малый В.О. пр-кт, дом № 58",1627.0,1227.0,-80.0,33.0,0.0,1580.0,
333,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ИМПУЛЬС""",1660113330,"422701, Татарстан Респ, м.р-н Высокогорский, с.п. Высокогорское, с Высокая Гора, ул Мелиораторов, зд. 10А, помещ. 1",4161.0,9500.0,-1942.0,0.0,3549.0,5768.0,
334,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""МЕРА""",7805390363,"198095, Санкт-Петербург г, пр-кт Стачек, 16, А, 32н",832.0,9.0,0.0,0.0,172.0,1004.0,
335,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""НАДЕЖДА""",5032268095,"143002, Московская обл, Одинцово г, Садовая ул, д. № 3, этаж 2 кв. 201",1721.0,-20437.0,-526.0,0.0,515.0,1710.0,
336,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ПЕРСПЕКТИВА""",7804372770,"193318, Город Санкт-Петербург, пр-кт Пятилеток, д. 9, к. 1, помещ. 9-Н",-3971.0,4544.0,0.0,0.0,788.0,-3183.0,
337,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ - 113""",7838408009,"194356, Город Санкт-Петербург, вн.тер. г. Муниципальный Округ Шувалово-Озерки, ш Выборгское, дом 36, литера А, помещение №64",-2187.0,29.0,89.0,2041.0,253.0,196.0,
338,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СТРОЙ - ВЕСТ""",4025068752,"249032, Калужская обл, Обнинск г, Аксенова ул, дом № 9Б",466.0,71.0,-8074.0,37695.0,0.0,30087.0,
339,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СТРОЙ ГРУПП""",2015040289,"364015, Чеченская Респ, г Грозный,  Мельничная ул (Ахматовский р-н), д 1",8793.0,6898.0,1759.0,0.0,1800.0,12352.0,
340,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СТРОЙПОДДЕРЖКА""",7802729619,"г. Санкт-Петербург, пр-кт КИМа, д. 6, к. ЛИТЕРАА, 199155",-12.0,173.0,-18.0,0.0,608.0,578.0,
341,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СТРОЙРЕСУРС""",6623115917,"Свердловская обл., г.о. город Екатеринбург, г. Екатеринбург, ул. Щорса, стр. 7, ОФИС 876, 620142",2.0,6.0,0.0,0.0,0.0,2.0,
342,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СТРОЙТРЕВЛ""",2311194948,"350056, Краснодарский край, г.о. город Краснодар, п Индустриальный, пер Дорожный, д. 7, офис 1",112239.0,166395.0,-30355.0,0.0,0.0,81884.0,
343,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СУ-27""",5046071772,"108840, Москва г, Троицк г, Физическая ул, дом № 13",-3918.0,3.0,0.0,0.0,0.0,-3918.0,
344,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ТАЙМ-НАФТА""",7715478214,"127474, Москва г, Бескудниковский б-р, д. № 2, корп. 1, пом. 3",2943.0,2400.0,735.0,0.0,0.0,3678.0,
345,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ТДРО""",7107501901,"г. Тула, ул. Советская, д. 47, оф. 612, 300041",-15280.0,1733.0,4081.0,36802.0,0.0,25603.0,
346,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ТЕКОМА""",7811018971,"193079, Санкт-Петербург г, Новоселов ул, дом 8, литер А, офис 509",-31922.0,13722.0,0.0,0.0,0.0,-31922.0,
347,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ТЕХНОСТРОЙ""",7841500188,"198516, Санкт-Петербург г, Петергоф г, Санкт-Петербургский пр-кт, дом 60, литер Ф, офис 214",7155.0,13795.0,-4502.0,1200.0,12616.0,16469.0,
348,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ТИХООКЕАНСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",2539079741,"690022, Приморский край, г Владивосток, ул Чапаева, 1В , 2",-2247.0,-42211.0,0.0,0.0,959.0,-1288.0,
349,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""",1611290471,"Респ. Татарстан, г. Бавлы, ул. С.Сайдашева, д. 4, к. А, 423930",54.0,184.0,-14.0,0.0,4845.0,4885.0,
350,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ХИМЗАЩИТА""",3906171924,"238313, Калининградская обл, р-н Гурьевский, п Заозерье, ул Центральная, 4, А, 101;102",2207.0,797.0,869.0,0.0,0.0,3076.0,
351,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ЭКОЛАЙФ""",1326195212,"430031, г. Саранск, Северо-восточное ш., д. 15Б, кв. 2/9",3758.0,6325.0,-1021.0,22915.0,4600.0,30252.0,
352,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ЭЛВИК ПЛЮС""",5032071564,"143006, Московская обл, г Одинцово, ул Транспортная, д 2Б",25498.0,-73357.0,34572.0,39342.0,15058.0,114470.0,
353,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ИСК ""РЕГИОН""",5446116114,"Новосибирская обл., г. Искитим, ул. Советская, д. 191, ПОМЕЩ. 1А, 633209",3126.0,1432.0,804.0,0.0,2929.0,6859.0,
354,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  МОСТОСТРОИТЕЛЬНАЯ КОМПАНИЯ ""ТРАНСМОСТ""",1516612143,"362001, Северная Осетия - Алания Респ, г.о. город Владикавказ, г Владикавказ, ул Пожарского, д. 42",5076.0,22577.0,-407.0,0.0,2695.0,7364.0,
355,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  СК ""КАПИТАЛ СТРОЙ""",5024177260,"143404, Московская область, г.о. Красногорск, г Красногорск, ул Народного Ополчения, дом 9, помещение 7",836.0,-634.0,-241.0,0.0,0.0,595.0,
356,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  СК ""МЕГАСТРОЙ""",9729043859,"129164, Город Москва, вн.тер.г. муниципальный округ Алексеевский, ул Маломосковская, д. 4, кв. 33",0.0,110.0,0.0,0.0,0.0,0.0,
357,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""НОРИЛЬЧАНИН""",3128009080,"309502, Белгородская обл, г.о. городской округ Старооскольский, г Старый Оскол, мкр Дубрава квартал 3, д. 35, помещ. 2",6002.0,26111.0,-1974.0,0.0,0.0,4028.0,
358,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ДФО""",2721204340,"г. Краснодар, ул. Комсомольская, д. 72, 350063",998.0,5175.0,-250.0,2661.0,0.0,3409.0,
359,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ЛИДЕР""",725013783,"360001, Кабардино-Балкарская Респ, г Нальчик, ул Промышленный проезд 3-й, 31",13933.0,31622.0,-6560.0,0.0,0.0,7373.0,
360,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ФИРМА ""МОДУЛЬ""",8902009126,"629400, Ямало-Ненецкий АО, г Лабытнанги, ул Совхозная, 6",-34421.0,-1745.0,5443.0,0.0,1941.0,-27037.0,
361,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ -""БИС""",6703004289,"216240, Смоленская обл, р-н Демидовский, г Демидов, ул Баррикадная, 38",3114.0,-491.0,0.0,0.0,0.0,3114.0,
362,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ''КОМВИ'',6616006018,"624135, Свердловская обл, Новоуральск г, Ольховая ул, дом № 72",2466.0,5827.0,970.0,272.0,191.0,3899.0,
363,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ‹‹СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРУППА КОМПАНИЙ ‹‹САКС››,3234039880,"241050, Брянская обл, Брянск г, Советская ул, дом № 49, корпус 1, оф.2",30888.0,10524.0,-8400.0,0.0,0.0,22488.0,
364,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" АВТОСТРОЙКОМПЛЕКТ""",4205300027,"630008, Новосибирская обл, г.Новосибирск, ул.Толстого, д. 133, офис Т303",-9947.0,3118.0,1361.0,0.0,10353.0,1767.0,
365,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" АДЕПТ - СТРОЙ """,2463053148,"660075, Красноярский край, Красноярск г, Маерчака ул, дом 10, офис 10-04",12857.0,5167.0,-6.0,6771.0,0.0,19622.0,
366,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" БАРС """,4825028156,"398902, Липецкая обл, г Липецк, ул Ударников, 38",-2696.0,-543.0,0.0,3.0,1652.0,-1041.0,
367,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" БАРС """,4414006950,"156012, Костромская обл, г Кострома, ул Костромская, д 105",3243.0,728.0,508.0,1869.0,3319.0,8939.0,
368,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ГЛАВСПЕЦСТРОЙ""",277921001,"450074, Башкортостан Респ, Уфа г, Габдуллы Амантая ул, дом № 7, офис 1",600.0,598.0,-512.0,7163.0,1274.0,8525.0,
369,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ГОРСТРОЙ """,1101031470,"г. Сыктывкар, ул. Восточная, д. 76, 167000",1382.0,-9109.0,-73.0,0.0,54.0,1363.0,
370,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ГРЭН """,542016321,"368601, Дагестан Респ, г Дербент, ул Пушкина, д. 46, к. Д",4097.0,847.0,-1024.0,0.0,0.0,3073.0,
371,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ДОНСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",6163099660,"344006, Ростовская Область, г.о. Город Ростов-На-Дону, г Ростов-На-Дону, ул Седова, дом 6, комната 8А",-27285.0,-20526.0,6761.0,6600.0,0.0,-13924.0,
372,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ДОРОЖНЫЙ СТРОИТЕЛЬ""",5835103862,"442761, Пензенская обл, Бессоновский р-н, Чемодановка с, Дорожная ул, дом № 1",2949.0,4527.0,-737.0,0.0,0.0,2212.0,
373,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ЕДИНСТВО МАСТЕРОВ """,3234040815,"119285, Город Москва, вн.тер. г. Муниципальный Округ Раменки, пр-кт Генерала Дорохова, дом 39, корпус 1, квартира 78Г",200947.0,55798.0,-57717.0,1028.0,0.0,144258.0,
374,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" КУЛЬТБЫТСТРОЙ - КМ""",2464002442,"660079, Красноярский край, г Красноярск, ул Мусоргского, зд. 18, помещ. 110",4971.0,-16987.0,-354.0,0.0,355.0,4972.0,
375,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ЛИПЕЦКМЕТАЛЛУРГРЕМОНТ-3 """,4826033663,"398017, Липецкая обл, Липецк г, И.Г. Гришина ул, владение 19",193.0,98.0,-125.0,446.0,0.0,514.0,
376,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" М-СТРОЙ""",6321241249,"445026, Самарская обл, г Тольятти, б-р Баумана, 14, 398",-353.0,-409.0,0.0,0.0,0.0,-353.0,
377,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" М.В.ПРОЕКТ""",5024103220,"123060, Москва г, ул Маршала Рыбалко, 2, 6 эт.3, 1",0.0,3121.0,0.0,0.0,0.0,0.0,
378,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" МАХАЧКАЛИНСКОЕ ВЗМОРЬЕ """,561051201,"367013, Дагестан респ, Махачкала г, Магомеда Ярагского ул, д. № 15",0.0,-1398.0,0.0,0.0,0.0,0.0,
379,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" МЕГА - СТРОЙ """,561052597,"367027, Дагестан Респ, г Махачкала, ул Ахмеда Магомедова, Юсупова 51",13482.0,13247.0,136.0,0.0,0.0,13618.0,
380,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" МЕГА РЕСУРСЫ """,6229032892,"390000, Рязанская обл., Рязань г., Соборная ул., д. № 14/2, стр. 1, кв. 3",116518.0,48693.0,-3316.0,0.0,20.0,113222.0,
381,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" МЕГАСТРОЙ""",3444267259,"400050, Волгоградская область, г.о. Город-Герой Волгоград, г Волгоград, ул Им. Рокоссовского, дом 54, офис 3",13182.0,34785.0,1874.0,0.0,0.0,15056.0,
382,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" МОНОЛИТ """,2465053680,"Красноярский край, г.Красноярск, ул.Башиловская, 2, офис 318, 660111",20645.0,7353.0,0.0,0.0,6419.0,27064.0,
383,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" МПМК КОЛОСОВСКАЯ """,5516002385,"646350, Омская обл, с.Колосовка, ул.Новая, д.29",940.0,370.0,-253.0,0.0,0.0,687.0,
384,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" НЕО СТРОЙ""",7327081674,"432018, Ульяновская область, г. Ульяновск, ул. Хваткова, дом 32Г",249.0,950.0,-62.0,0.0,2183.0,2370.0,
385,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" НОВОСТРОЙ """,2223032899,"656006, Алтайский край, г Барнаул, ул Малахова, д. 164",-92091.0,-317699.0,0.0,0.0,1343.0,-90748.0,
386,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" НОРБИ""",3443058340,"400075, Волгоградская обл, г Волгоград, проезд Нефтяников, 9",-13806.0,-23198.0,-1280.0,0.0,1802.0,-13284.0,
387,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ОСКОЛМОНТАЖСТРОЙ""",3128042120,"309518, Белгородская обл, г Старый Оскол, ул Ватутина, д. 1, офис 914",207.0,4410.0,0.0,0.0,0.0,207.0,
388,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ПОЛИТЕХНИК - М """,4823003533,"398042, Липецкая обл, г Липецк, ул Московская, влд 12А, 2",81510.0,91083.0,15499.0,0.0,0.0,97009.0,
389,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ПОЛИТЕХНИК - СУ - 1 """,4825030268,"398042, Липецкая обл, г Липецк, ул Московская, влд 12, 16",6628.0,6230.0,-1935.0,0.0,1524.0,6217.0,
390,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ПРОМЖИЛСЕРВИС """,8604029649,"628305, Ханты-Мансийский Автономный округ - Югра АО, Нефтеюганск г, Промышленная зона Пионерная нп, Нефтяников ул, корп.26",1312.0,8846.0,1287.0,0.0,1669.0,4268.0,
391,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ПРОМЭЛЕКТРОМОНТАЖ """,4823010548,"398017, Липецкая обл, г.о. город Липецк, ул Фестивальная, д. 16а, кв. 103",18271.0,6296.0,5147.0,0.0,1010.0,24428.0,
392,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ПРОМЭНЕРГОЖИЛСТРОЙ""",7449017789,"454091, Челябинская обл, г Челябинск, ул Елькина, д 112, офис 345а",11510.0,10388.0,542.0,0.0,0.0,12052.0,
393,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" РЕКОНСТРУКЦИЯ""",5003110787,"142000, Московская обл, г Домодедово,  Логистическая ул (Северный мкр.), 1",257863.0,316062.0,-67897.0,0.0,0.0,189966.0,
394,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" РУССКОЕ ПОЛЕ""",6221002007,"390000, Рязанская область, г Рязань, д2Б, клитера Д",-45722.0,-16258.0,3125.0,884.0,4026.0,-37687.0,
395,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" САМТОРЕС- М""",6317035187,"443080, Самарская обл, г Самара, ул Гаражная, 11А",59057.0,48996.0,-5705.0,0.0,1754.0,55106.0,
396,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СЕВЕРСТРОЙ""",5904243246,"115184, Москва г, Новокузнецкий 1-Й пер, дом № 10А, офис 26 Этаж 2 Подъезд 1",145218.0,68924.0,-43105.0,10372.0,0.0,112485.0,
397,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СИБСТРОЙЦЕНЫ""",5406257856,"119526, Москва г, пр-кт Вернадского, 105, 4, 407",16340.0,1079.0,0.0,0.0,20502.0,36842.0,
398,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СИБСТРОЙЭЛЕКТРОМОНТАЖ """,5407263443,"630108, Новосибирская обл, г Новосибирск, ул Станционная, д 26",1644.0,1342.0,-411.0,0.0,0.0,1233.0,
399,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СМУ-14 """,3906980594,"236006, Калининградская обл, Калининград г, Аксакова ул, дом № 137",442.0,31.0,3562.0,0.0,0.0,4004.0,
400,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СНАБСТРОЙИНВЕСТ-2020""",7723425784,"121357, Москва г, ул Верейская, д. 29А, стр. 1, офис 11",-5240.0,4360.0,-2510.0,0.0,0.0,-7750.0,
401,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СОВРЕМЕННЫЕ ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА""",3525317780,"г. Москва, вн.тер.г. муниципальный округ Марфино, ул. Гостиничная, д. 3, ЭТАЖ 3, ОФИС 331, 127106",808.0,192.0,-405.0,0.0,0.0,403.0,
402,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ТАТИНВЕСТСТРОЙ""",1648005931,"422540, Татарстан Респ, р-н Зеленодольский, г Зеленодольск, ул Столичная, 34а, 27",-1876.0,910.0,-477.0,0.0,0.0,-2353.0,
403,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СТРОИТЕЛЬНАЯ КОМПАНИЯ ЛОЯЛ""",7725294304,"119071, г. Москва, ул. Калужская М, дом 27",14812.0,13136.0,0.0,0.0,263.0,15075.0,
404,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СТРОИТЕЛЬНЫЕ ТЕХНОЛОГИИ """,6232004920,"391434, Рязанская обл, Сасово г, Промышленный проезд, дом № 11",10.0,3536.0,-1051.0,18.0,912.0,-111.0,
405,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СТРОЙ АЛЬЯНС """,7723206197,"115582, Москва г, Каширское ш, дом № 122",-4325.0,-8817.0,0.0,0.0,1352.0,-2973.0,
406,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СТРОЙСЕРВИС """,5918014969,"617570, Пермский край, р-н Березовский, с. Березовка, ул. Кирова, дом 27",-519.0,526.0,117.0,0.0,39.0,-363.0,
407,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СТРОЙТЕК """,5032120719,"143006, Московская область, г.о. Одинцовский, г Одинцово, ул Маковского, дом 26, строение 1, этаж 2, помещение 3",-362231.0,1084.0,1078.0,74466.0,1165.0,-285522.0,
408,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СУ - 1 "" ТРЕСТ ЦЕНТРМЕТАЛЛУРГРЕМОНТ """,4823017575,"398000, Липецкая область, г г. Липецк, ул. 9-го Мая 21",-1982.0,-16235.0,0.0,0.0,0.0,-1982.0,
409,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СУ - 8""",5321081297,"173012, Новгородская обл, г Великий Новгород, тер. Акрон",-6043.0,-87.0,213.0,0.0,8155.0,2325.0,
410,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ТЕПЛОЭКОМ """,2301033444,"353451, Краснодарский край, р-н Анапский, г Анапа, ул Парковая, д. 68-Д, офис 1",13870.0,14658.0,2778.0,0.0,730.0,17378.0,
411,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ТЕХСТРОЙ """,561049192,"367010, Дагестан Респ, г.о. город Махачкала, вн.р-н Ленинский район, г Махачкала, ул Гагарина, д. 86",4205.0,404.0,-1051.0,0.0,0.0,3154.0,
412,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" УНИСЕРВИС """,560029394,"367009, Дагестан Респ, г Махачкала, ул Каммаева, 92",3120.0,4896.0,-780.0,0.0,1432.0,3772.0,
413,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ФЕЯ """,2301034568,"353451, Краснодарский край, р-н Анапский, г Анапа, ул Владимирская, 55",36082.0,31158.0,-5610.0,0.0,540.0,31012.0,
414,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ФИРМА - ДЕКА """,4822001036,"643,398050,48,,Липецк,,Интернациональная ул,36,,",58.0,244.0,45.0,0.0,768.0,871.0,
